Name	ID	HW1	HW2	HW3	MID		
6560		50	100	50	30	42	GRADE
	306	47	96	49	26.5	38.02	A
	1980	47	93	50	27	38.4	A
	2727	50	99	48	25.5	37.32	A
	2787	41	98	50	28	39.34	A
	4395	49	96	48	28	39.58	A
	450	50	98	48	26	37.76	A
	8067						
	272	49	96	47	25	36.52	B
	8992	47	96	48	28	39.46	A
	4512	50	98	50	25	36.88	B
	3620	47	99	44	24.5	35.9	B
	5713	49	93	49	25.5	36.96	B
	1617	46	86	50	22.5	33.42	B
	1196	49	95	47	24.5	35.96	B
	1195	50	98	50	23.5	35.38	B
	6765	50	98	47	28	39.7	A
							
4560							
	3703	42	42		21	26.04	C
	3222	50	89	50	24.5	35.84	B
	9775	48	85	39	24	34.32	B
	7941	42	75	36	28	37.18	A
	8250	42	95	49	30.5	41.66	A
	3910	48	90	40	23.5	34.18	B
	3334	44	70	45	25	34.54	B
	2264	47	75	38	19	28.6	C
	7648	49	99	50	32	43.88	A
	9498						
	8021	39		26	24.5	28.4	C
	6513	45	95	36	23.5	34.06	B
	3702	48	80	43	27	37.26	A
	1233	45	92	50	26.5	37.72	A
	4141	42	98	50	28	39.4	A
	988	49	100	50	32	43.94	A
