8950 Students
Name                    ID  HW1  HW2 EXAM1 Total GRADE
Full score=                    50  80    30    30
                        0724   48  80  29.5 29.513  A
                        2650       80  29.5 25.821  B
                        1083   45  80  27.5 27.949  A
                        5582   43  80  26.5 27.128  A
                        0941   43  80    29 28.795  A
                        5953   44  80    30 29.538  A
                        3179   43  80    27 27.462  A
                        9296   46  70  28.5 27.923  A
                        0326   46  80    26 27.026  A
                        9512   41  75    24 24.923  B
                        6034 38.5  78    25 25.628  B
                        5842   45  80  25.5 26.615  B
                        8596   46  80    30 29.692  A
                        6582   37  80            9  W
                        3252   40  80     8 14.564  F
                        9187   46  79    30 29.615  A
                        7133   39  80  23.5 24.821  B
                        1589   39  80    27 27.154  A
                        9362   42  80    29 28.718  A
                        0568   46  80  25.5 26.692  B
                        3458 41.5  79  29.5 28.936  A
                        0047   45  80    28 28.282  A
                        4912   43  80    30 29.462  A
                        8788   45  80    25 26.282  B
                        8716   44  80    30 29.538  A
