8950 Students																
Name	ID	HW1	HW2	HW3	EXAM1	Total	GRADE	HW4	HW5	HW6	P					
Full score=	50	80	40	40	40		80	60	100	5					
	5632	39	80	35	34	34.55	B	80	58	100	5					
	1277	48	80	40	39	39.13	A	80	59	100	5					
	5826	45	80	37	36	36.52	A	80	55	100	4.5					
	9328	35.5	80	32	29	30.42	C	78	35	100	5					
	3565	45	80	36	36	36.47	A	80	59	100	5					
	9714	28	80	20	14	18.02	F		34	100	3.5					
	0891	48.5	80	40	40	39.91	A	80	59	100	5					
	9397	34	80	33	30	31.14	B	75	51	100	4					
	7994	35.5	80	37	36	35.97	A	75	44	100	4.5					
	3513	45	80	40	36	36.70	A	80	54	100	5					
	0243	46	80	40	33	34.51	B	80	54	100	5					
	7768	40	80	30	38	37.32	A	80	45	100	4.5					
	9581	40	80	36	36.5	36.55	A	80	39	100	4.5					
	5040	49	80	40	36.5	37.31	A	80	49	100	5					
	4855	39	80	34	36	36	A	60	44	100	5					
	6178	42	80	37	29	31.10	B	80	54	100	4.5					
	3898	44	80	37	38	37.97	A	80	59	100	4					
	3284	35.5	80	36	31	32.16	B	75	40	100	4.5					
																
																
																
																
																
																
																
